x,Company Name,Website,scraped_text,Wikipedia_URL,CEO,Founder,Founded,Industry,Products,Headquarters,Revenue,Employees,Summary,company_type,is_relevant,is_fortification_potential,notes
23,"Mars, Incorporated",www.mars.com,"For over a century, we’ve been driven by a belief that the world we want tomorrow starts with how we do business today. Our Principles form the foundation of how we do business today and every day. The Mars Compass serves as a guide to keep us on track and ensures we're heading in the right direction towards our vision of the world we want tomorrow. No matter the visible or invisible differences, we have long-been committed to fostering an environment where everyone has an equal opportunity to reach their full potential. Our global leadership team is responsible for building on our storied history while setting the vision for our path forward. For more than five generations, Mars has evolved to create products and services that people (and their pets) love. Every day is an opportunity to take action to create the world we want tomorrow. Our policies and practices are what help shape that future, and they're non-negotiable. For generations, families and their four-legged friends have enjoyed our brands, products and services. Pet nutrition, health, & veterinary services to make a better world for pets. Some of the world’s most beloved snacks and treats that inspire moments of everyday happiness. Healthy, tasty food that is part of consumer's daily lives. We’re committed to helping create a safe, healthy and sustainable world for our partners and the communities in which we operate. View progress & impact report See how our Associates are creating a better world tomorrow in our latest stories, news and press releases from around the globe.  Your Current Selection Global   Your Current Selection Global   Your Current Selection Global   Your Current Selection Global   Your Current Selection Global   Your Current Selection Global  In partnership with leading academics, PAWS is set to become the world’s largest, multi-year research program exploring the impact of cats and dogs on mental health and wellbeing, deepening our understanding of the mutual benefits of the human-animal bond. Backed by a $27M USD, five-year investment, the Farmer Forward Program aims to empower dairy farmers to embrace climate-smart agriculture practices as Mars strives to slash greenhouse gas (GHG) emissions 50% by 2030 against a 2015 baseline.  Transaction unites two iconic businesses with complementary footprints and portfolios of beloved brands. Mars continues to decouple carbon emissions from business growth by reducing absolute GHG emissions in the full value chain by 16% since 2015. Mars CEO Poul Weihrauch recently sat down with Expansión to share his thoughts on what makes Mars unique – including the company's approach to responsible growth and how it balances a portfolio of global and local jewels. For generations, you and your family — including the four-legged members — have loved our brands, products and services. Our Associates are working to ensure that everything you know and love consistently evolves to deliver the best for your family.  Never has our Purpose been more relevant as it is right now. In today’s fast-moving business, social and environmental landscape, change won’t happen by itself. Our leaders share how we’re navigating with action, today, to create a future we can all be proud of. Since we launched the Mars Sustainable in a Generation Plan in 2017, we have made progress to transform how we do business. We’re working to improve the lives of people in communities where we source materials, as well as the lives of our Associates, customers and pets.  Mars delivers record carbon emissions reduction Mars accelerates progress towards 100% responsibly sourced and traceable cocoa Mars and Unreasonable Group announce Unreasonable Food™ to transform... Mars delivers record carbon emissions reduction Mars accelerates progress towards 100% responsibly sourced and traceable cocoa Mars and Unreasonable Group announce Unreasonable Food™ to transform... Featured News Mars unveils the world’s largest pet parent study Our 100,000 Mars Petcare Associates serve the health and nutrition needs of pets in more than 130 countries. Featured News Mars unveils multi-million dollar sustainable dairy plan, Moo'ving Dairy Forward  Mars is the world’s leading manufacturer of chocolate, chewing gum, mints and fruity confections. Our Associates work hard to improve the way we source, make and market our products, so consumers can enjoy them even more. Featured News Mars Food & Nutrition expands portfolio, disrupts the food aisle  Food isn’t just what we eat. It’s a way for families to bond, laugh, and talk. It’s a way to make a living for farmers. For us, our food business is also a way to contribute to a more positive world. We have fun. We innovate. We learn. We explore and we work towards making our work a better place today and every day. Want to know more about our work, culture, and people?",https://en.wikipedia.org/wiki/Mars,Grant F. Reid,Frank C. Mars,1911,Food manufacturing,"Candy, pet food, food products","McLean, Virginia, U.S.",$40 billion (2021),"140,000 (2021)","Mars, Incorporated is an American multinational manufacturer of confectionery, pet food, and other food products. It is the largest family-owned business in the United States and one of the largest in the world.",Brand,False,,"The company website primarily focuses on consumer-facing brands and does not mention any involvement in nutraceuticals or probiotics, which are the key criteria for relevance in the F&B industry."
24,AbbVie,www.abbvie.com,,https://en.wikipedia.org/wiki/AbbVie,Richard A. Gonzalez,,2013,Pharmaceuticals,"Humira, Imbruvica, Creon, Synagis","North Chicago, Illinois, U.S.",$56.2 billion (2021),"50,000","AbbVie is a global biopharmaceutical company that develops and markets drugs for a variety of therapeutic areas, including immunology, oncology, virology, and neuroscience.",,False,,
25,Campbell Soup Company,www.campbellsoupcompany.com,"Over 150 years of making the delicious, well-crafted soups, simple meals, snacks, and beverages you love.   We’re committed to making a positive impact by providing food you can trust, strengthening communities, empowering people to thrive, and working toward a healthier environment.   
				News			 
				It’s official: We are The Campbell’s Company			 
				News			 
				Launching our next chapter of growth: Investor Day highlights 			 
				Our Food			 
				Meet our soups 			 
				Press Releases			 
				Goldfish Unveils New Goldfish Crisps – Taste How Goldfish Does Chips 			 
				Community			 
				5 highlights from year three of our Full Futures school nutrition program 			 
				Press Releases			 
				The Campbell’s Company to Report Second Quarter Fiscal 2025 Results on March 5, 2025			 
				Press Releases			 
				Campbell’s Appoints Risa Cretella President of Meals & Beverages Division			 
				Press Releases			 
				The Full Futures Partnership Advances School Nutrition in its Third Year			 
				Press Releases			 
				Spritz Society and V8 Partner to Launch a First-Of-Its-Kind Bloody Mary Spritz			 Formed in 1869 when fruit merchant Joseph Campbell and commercial canner Abraham Anderson had a simple idea to make food that is good, trusted, and affordable. Over 150 years later, we’re still inspired by our purpose: Connecting people through food they love. Follow Us",https://en.wikipedia.org/wiki/Campbell's,Mark Clouse,"Joseph A. Campbell, Abraham Anderson",1869,Food processing,"Soup, sauces, beverages, snacks","Camden, New Jersey, U.S.",US$8.63 billion (2022),"18,000","Campbell Soup Company is an American processed food and beverage company headquartered in Camden, New Jersey. It is the maker of Campbell's Soup, the best-selling soup brand in the United States, as well as other food products such as sauces, beverages, and snacks.",,False,,"Error parsing LLM response: Expecting value: line 3 column 18 (char 46). Extracted Text: {
  ""company_type"": ""Brand"",
  ""is_relevant"": True,
  ""is_fortification_potential"": ""NA"",
  ""notes"": ""Campbell's is a well-known brand that sells food and beverage products directly to consumers.""
}"
26,Amgen,www.amgen.com,"Science & Innovation 02.11.2025     Press Release 02.04.2025     Patients 02.04.2025     Science & Innovation 01.24.2025     Science & Innovation 01.21.2025     Patients 01.17.2025     
PRESS RELEASE


 
PRESS RELEASE


 
PRESS RELEASE


 
PRESS RELEASE


 
PRESS RELEASE


 Amgen is a pioneer in the science of using living cells to make biologic medicines.
 Amgen’s medicines treat serious illnesses and typically address diseases with a limited number of treatment options. Making a positive difference in the world is at the heart of what we do at Amgen—and it goes beyond making vital medicines. Amgen is a pioneer in the science of using living cells to make biologic medicines, leading and guiding the biotech industry. Encounter opportunities both new and undiscovered, as we embrace leading-edge technologies, invest in our talents, and maximize our potential. 
                © 1996-2025 Amgen Inc. All Rights Reserved.

",https://en.wikipedia.org/wiki/Amgen,Robert A. Bradway,"George B. Rathmann, Gordon Binder, and William Saltonstall",1980,Biotechnology,"Neulasta, Enbrel, Prolia, Xgeva, Repatha, Aimovig","Thousand Oaks, California, United States",$26.36 billion (2021),"24,000 (2021)","Amgen is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. It is the world's largest independent biotechnology company by revenue.",Manufacturer,False,,"Amgen primarily focuses on manufacturing and developing biotechnology-based pharmaceuticals, including biologics, not F&B products or nutraceuticals."
27,Conagra Brands,www.conagrabrands.com,,https://en.wikipedia.org/wiki/Conagra_Brands,,,,,,,,,Error in JSON Conversion.,,False,,
28,AstraZeneca,www.astrazeneca.com,"

Transforming the Future of Chronic Disease Care

 
Transforming breast cancer care for underserved patient populations
 
Strengthening health systems through the Partnership for Health System Sustainability and Resilience (PHSSR)
 By 2030, we aim to launch at least 20 new medicines and achieve $80 billion in Total Revenue, with sustained growth thereafter. 
We have
 projects in our pipeline This website is intended for people seeking information on AstraZeneca's worldwide business. Our country sites can be located in the AZ Network.   Veeva ID: Z4-68564Date of next review: August 2026
 Veeva ID: Z4-68564Date of next review: August 2026 © AstraZeneca 2025 You are now leaving AstraZeneca.com You have selected a link that will take you to a site maintained by a third party who is solely responsible for its contents. AstraZeneca provides this link as a service to website visitors. AstraZeneca is not responsible for the privacy policy of any third party websites. We encourage you to read the privacy policy of every website you visit. Click ‘cancel’ to return to AstraZeneca’s site or ‘continue’ to proceed. Important notice for users

You are about to access AstraZeneca historic archive material. Any reference in these archives to AstraZeneca products or their uses may not reflect current medical knowledge and should not be used as a source of information on the present product label, efficacy data or safety data. Please refer to your approved national product label (SmPC) for current product information.

I have read this warning and will not be using any of the contained product information for clinical purposes.",https://en.wikipedia.org/wiki/AstraZeneca,,,,,,,,,Error in JSON Conversion.,,False,,
29,Molson Coors,www.molsoncoors.com,"  WHO WE ARE               CELEBRATE RESPONSIBLY®
©2025 Molson Coors Beverage Company
Do not share with anyone under the legal drinking age. CELEBRATE RESPONSIBLY®
©2025 Molson Coors Beverage Company
Do not share with anyone under the legal drinking age.",https://en.wikipedia.org/wiki/Molson_Coors,Gavin Hattersley,John Molson,1786,Beverage,"Beer, wine, spirits","Chicago, Illinois, United States",US$11.2 billion (2021),"18,000","Molson Coors Beverage Company is a multinational beverage company headquartered in Chicago, Illinois. It is the world's fifth-largest brewer by volume and the largest brewer in North America. The company's portfolio includes a wide range of beer, wine, and spirits brands, including Coors Light, Miller Lite, Molson Canadian, and Carling.",F&B,True,,"Molson Coors is a beverage company that produces and sells beer, spirits, and non-alcoholic beverages. It is a potentially relevant company because it operates in the food and beverage sector."
30,Boehringer Ingelheim,www.boehringeringelheim.com,,,,,,,,,,,,,False,,
31,AB InBev,www.abinbev.com,"As part of our commitment to responsible drinking, please confirm you are of legal drinking age. You must be of legal drinking age to view this site. By submitting this form, you agree to be bound by the Terms of Service and Privacy Policy  PRIVACY POLICY TERMS & CONDITIONS DO NOT SELL MY PERSONAL INFORMATION 
                        © 2025 Anheuser-Busch Companies LLC, St. Louis, MO 63118 
Our Purpose is to  Dream Big to Create a Future with More
  Cheers
 
Our Purpose is to  Dream Big to Create a Future with More
  Cheers
 Our purpose drives everything we do. We are building on our more than 600 years of heritage, we are always looking to serve up new ways to meet life’s moments, and we dream big to move our industry forward. Our purpose drives everything we do. We are building on our more than 600 years of heritage, we are always looking to serve up new ways to meet life’s moments, and we dream big to move our industry forward. Passion for beer is at the heart of everything we do. We are the proud makers of more than 500 iconic global and local brands. 
  Discover our brands
 Create a future with more cheers with us We're seeking passionate people who'll be inspired by brewing the world's most loved beers, building iconic brands and creating meaningful experiences. Follow Us ©2025 AB InBev All rights reserved. Enjoy Responsibly. Do not share
            this content with minors. AB InBev is committed to improving the accessibility of our websites
            for all users, including those with disabilities. Read the
            accessibility statement here. ©2025 AB InBev All rights reserved. Enjoy Responsibly. Do not share
            this content with minors. AB InBev is committed to improving the accessibility of our websites
          for all users, including those with disabilities. Read the
          accessibility statement here.",https://en.wikipedia.org/wiki/AB_InBev,,,,,,,,,Error in JSON Conversion.,Brand,True,,"AB InBev is one of the largest beer producers in the world. As a brand that sells directly to the end consumer, they are relevant for analysis."
32,BASF,www.basf.com,"Read more  Acquisition, Trade and Expertise – the energy concept of BASF.",https://en.wikipedia.org/wiki/BASF,Martin Brudermüller,Friedrich Engelhorn,1865,Chemicals,"Chemicals, plastics, performance products, agricultural products, oil and gas","Ludwigshafen, Germany",€78.6 billion (2021),"111,000 (2021)","BASF is the world's largest chemical producer. The company produces a wide range of chemicals, plastics, performance products, agricultural products, and oil and gas. BASF has operations in more than 90 countries and employs over 111,000 people.",Manufacturer,False,,BASF is a chemical manufacturer that does not focus on F&B or nutraceuticals.
33,Diageo,www.diageo.com,"Our business We’ve launched Distilled 2025 - our annual Consumer Trends Report. Our brands With over 200 brands and sales in nearly 180 countries, we offer something for every taste and celebration. ESG Learn more about Spirit of Progress – our global ESG programme to help create a more inclusive and sustainable world. News & media We’ve launched Distilled 2025 – exploring the top trends driving consumer conversations around the world. Investors Stay up to date with Diageo's investor-related news and events. Careers Accelerate your career as you make your mark by building brands consumers love.Our perfect blend of our people and brands is our magic, and in our inclusive and supportive culture, your opportunity to thrive is endless. We’re a company built on the shoulders of great innovators like Arthur Guinness and Johnnie Walker. From much-loved, established brands to the latest innovations, we move at pace with the latest trends, creating products, tastes and experiences for people to enjoy as part of celebrations big or small. On Thursday 20th February at 5pm ET/10pm GMT, Debra Crew (Chief Executive), Nik Jhangiani (Chief Financial Officer), and Sally Grimes (Chief Executive Officer North America) will be presenting at the Consumer Analyst Group of New York (CAGNY) conference.  We offer something for everyone and have exposure to significant consumer growth opportunities. 

With over 200 brands sold in over 180 countries, we are a global leader in premium spirits. And with Guinness at the heart of our portfolio, we have a strong position in the fastest-growing beer segments. Our growth algorithm powers our long-term ambition to increase our TBA market share from 4% to 6% by 2030. 
              Building world-class brands
             
              We're global innovators who pair creativity and science to forge new paths and push the limits when it comes to recruiting consumers and delivering long-term growth. Spirits is an attractive dynamic category, capitalising on macro-consumer trends.
             We’re focused on using our deep consumer understanding to leverage consumer demands for premiumisation, convenience and moderation.  This will help us succeed in our ambition of delivering a 50% increase in our TBA share from 4% to 6% by 2030. We are proud to have met our 2030 targets for DRINKiQ and we've reached 1 billion people with dedicated moderation messages. People are choosing to drink better, not more. Over the last decade, premium and above spirits grew from 26% of category value to almost 35%. The super-premium plus price-tier has grown in value more than two times faster than other price tiers in the category. 

                        12
                      

                        %
                      
 
                      Tequila net sales growth in markets outside NAM and LAC
                     Diageo's tequila portfolio grew share of the spirits industry in fiscal 24, with acceleration in the second half, led by Don Julio. ESG Our ongoing ESG action plan, addresses the most significant environmental and social opportunities and risks Diageo faces. It has three priorities to promote positive drinking, champion inclusion and diversity and pioneer grain-to-glass sustainability. Doing business the right way underpins everything we do.  Our ambition is to change the way people drink for the better. This is why we promote moderate drinking and invest in education programmes to discourage the harmful use of alcohol. We partnered with Suho of Kpop group EXO to promote responsible and moderate alcohol consumption. The campaign features an original song by Suho and emphasises the importance of savouring each moment. We’re delighted that Eleanor Morgan, Marketing Manager Captain Morgan, has been included in this year’s Management Today 35 Women Under 35 list, the annual celebration of the UK’s most impressive women in business. This World Environment Day, we’re calling for greater collaboration to achieve the world’s climate goals. Many companies are committing to reducing their impact on the environment – but we need business, NGOs and governments to work together. CAREERS We invest in our people and our communities because we believe in the value and impact they have on our business. Their contributions directly impact our sustainability and longevity.   Our DRINKiQ programme aims to  raise the 'collective drink IQ' by increasing public awareness of the effects of alcohol and supporting responsible drinking. We are a global leader in beverage alcohol with an outstanding collection of brands across spirits and beer.",https://en.wikipedia.org/wiki/Diageo,Ivan Menezes,Arthur Guinness,1997,Alcoholic Beverages,"Whiskey, Vodka, Rum, Gin, Tequila, Beer","London, United Kingdom",£13.4 billion (2022),"28,000","Diageo is a British multinational alcoholic beverages company headquartered in London, England. It is the world's largest producer of spirits and a major producer of beer and wine. Diageo's brands include Johnnie Walker, Smirnoff, Guinness, Baileys, Captain Morgan, Tanqueray, and Crown Royal.",Brand,False,,"The website text primarily focuses on the company's brand portfolio, marketing strategies, and global reach. There is no mention of food and beverage production or fortification."
34,Procter & Gamble (P&G),www.pg.com,© 2025 Procter & Gamble 2/22/2025 OLAY Launches Super Serum Body Wash The brand’s most advanced body wash delivers powerful results typically associated with high-end facial products.  Read more 2/20/2025 Supplying Your Favorite Products: From Production to Your Home A sneak peek inside the journey your favorite products take to arrive at their destination.  Read more 2/13/2025 The Art and Science of Improving Everyday Household Products Learn how P&G's consumer-driven approach transforms household products and makes jobs-to-done easier and more efficient.  Read more 2/11/2025 P&G Celebrates Women in STEM: A Legacy and Future of Innovation International Day of Women and Girls in Science | Learn how Procter & Gamble is inspiring the next generation of women in STEM.  Read more Our brands Careers at P&G Careers at P&G Investor Relations Investor Relations NOTICE: We may sell your sensitive personal data. CHANGE LOCATION © 2025 Procter & Gamble ,https://en.wikipedia.org/wiki/PG,Jon Moeller,"William Procter, James Gamble",1837,Consumer goods,"Tide, Pampers, Gillette, Crest, Olay","Cincinnati, Ohio, U.S.",$76.11 billion (2022),"95,000","Procter & Gamble (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio. The company produces a wide range of products, including laundry detergents, dish soap, paper towels, toilet paper, beauty products, and food and beverages.",Brand,False,,"Procter & Gamble is a brand that sells directly to the end consumer, but it does not work with specific dosage forms or health segments."
35,Heineken,www.theheinekencompany.com,"
					WELCOME TO THE HEINEKEN COMPANY WEBSITE
				 Looking for info on the Heineken® brand specifically? You'll find that here. You can view our privacy policy here",https://en.wikipedia.org/wiki/Heineken,Dolf van den Brink,Gerard Adriaan Heineken,1864,Beverage,"Beer, cider, soft drinks","Amsterdam, Netherlands",€26.4 billion (2021),"85,153 (2021)","Heineken is a Dutch multinational brewing company, founded in 1864 by Gerard Adriaan Heineken in Amsterdam. It is the second-largest brewer in the world by volume. The company produces and sells over 300 brands of beer, including Heineken, Amstel, and Cruzcampo.",Brand,False,,"The website text does not mention nutraceuticals or probiotics, so the company is not relevant as a distributor. It is a brand that sells alcoholic beverages, which are not relevant to food and beverage fortification."
36,Medtronic,www.medtronic.com,"You just clicked a link to go to another website. If you continue, you will leave this site and go to a site run by someone else. Medtronic does not review or control the content on the other website, and we are not responsible for any business dealings or transactions you have there. Your use of the other site is subject to the terms of use and privacy statement on that site. It is possible that some of the products on the other site are not approved in the Indian Subcontinent. Any and all information provided is intended for general overview. Viewers taking any decision based on the information provided herein are requested to seek professional advice. Your browser is out of date 
    With an updated browser, you will have a better Medtronic website experience. Update my browser now.
 
×
 The content of this webpage is exclusively reserved for registered medical practitioners. Click “OK” to confirm you are a registered medical practitioner.  
Home
 Who we are Engineering the  extraordinary HEALTHCARE TECHNOLOGY MEIC symbolizes Medtronic’s commitment to R&D and innovation in healthcare. It serves as a technology hub to deliver on our mission.​ PUT PATIENTS FIRST The #TimetoDecideDestiny campaign aims to create awareness about the importance of stroke prevention and timely treatment by reaching the nearest stroke-ready hospital. PATIENT EQUITY Arrhythmia is a disorder that affects the heart rate. #Whatsyourrhythm aims to break the silence, ignite discussions, and address gender disparity in arrythmia treatment​. Healthcare Professionals Innovation without collaboration isn't enough. We work closely with healthcare professionals to introduce new therapies and optimize treatments. Our impact Careers   Want to do work that has the potential to make the world a better place? Then join us. Speed and decisiveness run through our DNA. Diverse perspectives inspire bold solutions to the world’s most complex and challenging conditions. Our careers change lives.",https://en.wikipedia.org/wiki/Medtronic,Geoff Martha,Earl Bakken and Palmer Hermundslie,1949,Medical device,"Pacemakers, defibrillators, insulin pumps, surgical tools, and other medical devices","Dublin, Ireland",USD 30.6 billion (2022),"90,000","Medtronic is a global medical device company that develops, manufactures, and markets a wide range of medical devices and therapies for a variety of medical conditions, including cardiac, neurological, spinal, and diabetes.",Manufacturer,False,,"Medtronic is a medical device manufacturer that does not focus on F&B, nutraceuticals, or probiotics."
37,McKesson,www.mckesson.com,"As a diversified healthcare leader, our solutions help patients access life-changing therapies, create a real difference for patients with cancer, and equip pharmacies, health systems and clinics with technologies to operate more effectively. We do all of this and much more as we pursue our purpose of advancing health outcomes for all.   Learn How Pharmaceutical Distribution Rely on our accurate, safe and speedy drug distribution services to build a better patient experience. Medical Supplies & Equipment Find the quality wholesale supplies and equipment you need for your high-performing lab, physician practice or post-acute care setting. Pharmacy Services & Technology Balance customer care, operational efficiency and business growth with the help of our pharmacy management tools and consultancy services. Specialty Practice Solutions Value-based care programs. Specialty group purchasing. A top-of-the-line EHR. Learn how we can support your oncology or other specialty practice. Solutions for Biopharma From commercialization services to medication access and adherence, we’ll get your groundbreaking treatment to the patients who need it most. From team volunteering to enterprise-wide events like Giving Tuesday and Community Impact Days, our employees raised the bar in 2024 by making a difference in the communities where we live, work and serve. Learn more about RxOwnership, McKesson’s strategic consultants who help independent pharmacy owners navigate challenges, optimize operations and achieve financial health. With deep expertise in pharmaceutical distribution, supply chain analytics, and market access dynamics, we are committed to helping address the multitude of issues contributing to drug shortages. McKesson's pharmaceutical distribution supply chain, healthcare services, and medical supplies & equipment help address the challenges healthcare organizations face today—and shape how they’ll overcome the new challenges of tomorrow. About Us Our Business Segments Corporate Responsibility Public Affairs Careers 
                            © 2025 MCKESSON CORPORATION
                         close",https://en.wikipedia.org/wiki/McKesson_Corporation,Brian Tyler,John McKesson,1833,Healthcare,"Pharmaceuticals, medical supplies, technology solutions","Irving, Texas, United States",$231.5 billion (2022),"70,000","McKesson Corporation is an American healthcare company that distributes pharmaceuticals, medical supplies, and technology solutions to healthcare providers. It is one of the largest healthcare companies in the world.",Distributor,False,,"McKesson is a distributor of medical supplies, pharmaceuticals, and healthcare solutions. They do not produce or sell F&B products, so they are not relevant for food and beverage fortification."
38,AmerisourceBergen,www.amerisourcebergen.com,"Cencora brings the companies and services of AmerisourceBergen together under one new name. In the news Insights 
                                        Copyright ©2025 AmerisourceBergen Corporation. All Rights Reserved.
                                    ",https://en.wikipedia.org/wiki/Cencora,,,,,,,,,Error in JSON Conversion.,Distributor,False,,"AmerisourceBergen is a distributor that provides products to various healthcare providers, including pharmacies and hospitals. They do not produce or sell food and beverage products, so they are not relevant to the analysis."
39,Cardinal Health,www.cardinalhealth.com,"To view a full catalog of products that Cardinal Health offers, please use our ordering website. Learn more about how Cardinal Health is improving healthcare. March 6 | 11 am EST
In this webinar, learn from industry experts on how to mitigate patient access challenges for cell and gene therapies (CGTs).
 March 6 | 11 am EST
In this webinar, learn from industry experts on how to mitigate patient access challenges for cell and gene therapies (CGTs). When your patient care is on the line, don’t choose a lab distributor who only cares about their bottom line.
 When your patient care is on the line, don’t choose a lab distributor who only cares about their bottom line. Dive into the data and strategic factors driving patient hub model transformation in our new industry report.

 Dive into the data and strategic factors driving patient hub model transformation in our new industry report.
 Cardinal Health's Community Health Pharmacy Services can help improve care, expand services and maximize resources. Our support doesn't stop.

 Cardinal Health's Community Health Pharmacy Services can help improve care, expand services and maximize resources. Our support doesn't stop.
 Cardinal Health Newsroom  Learn more about everything Cardinal Health is doing to combat the crisis of opioid misuse in America and to keep the nation's pharmaceutical supply chain secure. Company Support 
				  ©2025 Cardinal Health. All rights reserved.
					",https://en.wikipedia.org/wiki/Cardinal_Health,,,,,,,,,Error in JSON Conversion.,Distributor,False,,Cardinal Health is a distributor that does not specialize in nutraceuticals or probiotics.
40,Medline Industries,www.medline.com,,https://en.wikipedia.org/wiki/MEDLINE,Charlie Mills,A. L. Mills,1966,Healthcare,"Medical supplies, surgical equipment, laboratory equipment, and pharmaceuticals","Northfield, Illinois, U.S.",US$17.5 billion (2021),"27,000 (2021)","Medline Industries, Inc. is an American privately held manufacturer, distributor, and marketer of medical supplies and equipment. The company was founded in 1966 by A. L. Mills and is headquartered in Northfield, Illinois.",,False,,
